Year,ExportTrays,LocalMarketTrays,ProcessingTrays,TotalTrays,TotalTonnes
1999,1125000,555000,0,1680000,9400
2000,1400000,712000,180000,2292000,12606
2001,1321000,678000,155000,2154000,11847
2002,1259000,1075000,75000,2409000,13248
2003,1055000,825000,55000,1935000,10642
2004,1122175,895961,118498,2136634,11751
2005,2406022,1294168,476225,4176415,22970
2006,945885,989335,71137,2006357,11035
2007,2644862,1480529,741089,4866480,26766
2008,1399270,1158117,144273,2701660,14859
2009,2280276,1334190,337837,3952303,21738
2010,1721698,1034090,280549,3036337,16700
2011,3713122,1774375,693781,6181278,33997
2012,1217184,1191204,159838,2568226,14125
2013,3136968,1280625,479234,4896827,26933
2014,4487540,1877542,744590,7109672,39103
2015,2550990,1233927,379890,4164807,22906
2016,4731850,2190712,963795,7886357,43375
2017,2235340,1645798,328325,4110463,22608
2018,0,0,0,0,0
